Filename,WC,WPS,Sixltr,Dic,Numerals,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
Chadwyck_British_1823_Scott_StRonanWell.txt,174756,33.09,20.6,81.73,0.01,56.72,14.2,9.46,2.74,0.35,1.67,3.96,0.73,4.75,8.1,11.68,7.61,4.58,4.6,1.45,3.27,14.81,6.48,1.43,2.68,0.72,0.03,12.35,0.42,0.33,1.5,5.4,3.42,1.93,0.49,0.5,0.48,15.09,2.14,1.15,1.58,2.67,1.47,0.58,4.44,2.38,2.49,0.65,1.19,0.53,1.45,0.65,0.39,0.13,0.31,10.79,1.52,5.4,3.8,1.11,1.32,0.76,0.49,0.63,0.64,0.17,0.06,0.2,0.15,2.68,10.21,0.02,0.94,0.44,0.38,1.3,3.6,1.03,0.05,0.01,20.17
Chadwyck_British_1824_Scott_Redgauntletinthe.txt,184954,30.49,19.95,81.98,0.01,57.41,14.81,10.12,3.63,0.49,1.72,3.5,0.78,4.69,8.09,11.29,7.25,4.75,4.16,1.37,3.2,15.33,6.9,1.36,2.44,0.71,0.05,11.73,0.52,0.34,1.17,5.22,3.22,1.95,0.53,0.53,0.42,15.15,2.08,1.15,1.51,2.56,1.18,0.71,4.87,2.41,2.52,0.69,1.25,0.49,1.44,0.77,0.34,0.1,0.28,11.47,1.67,5.77,3.97,1.02,1.36,0.7,0.54,0.55,0.47,0.16,0.04,0.14,0.14,2.87,10.18,0.03,1.06,0.39,0.26,1.23,3.16,0.85,0.06,0,19.64
Chadwyck_British_1841_Dickens_BarnabyRudgein.txt,253907,18.7,17.25,84.99,0,57.97,15.09,10.02,2.08,0.33,1.45,4.96,1.2,5.07,7.44,12.11,7.32,5.82,4.21,1.05,3.68,14.78,7.78,1.58,2.59,0.92,0.03,13.14,0.32,0.27,1.49,5.45,3.28,2.14,0.53,0.44,0.75,15.7,1.66,0.97,1.41,2.53,1.39,0.65,6.19,2.09,3.65,1.24,1.48,0.85,2.24,1.49,0.39,0.13,0.28,14.27,2.14,7.27,4.74,0.71,1.06,0.52,0.72,0.37,0.51,0.23,0.18,0.12,0.12,4.22,10.09,0.14,1.04,0.54,0.65,1.04,3.97,1.35,0.1,0,22.81
Chadwyck_British_1852_Thackeray_TheHistoryof.txt,188627,25.14,16.55,83.93,0.03,56.94,14.8,10.38,2.2,0.61,0.99,5.9,0.69,4.42,7.85,11.42,6.89,6.23,3.25,1.08,3.31,14.59,7.66,1.37,2.19,0.95,0.08,14.46,0.81,0.25,1.68,6.07,4.15,1.89,0.32,0.64,0.6,14.6,1.45,0.84,1.21,1.79,1.27,0.48,6.37,1.8,2.59,1.03,1.09,0.42,1.98,0.96,0.52,0.31,0.26,12.63,2.04,6,4.48,1.02,1.37,0.83,0.67,0.49,1.28,0.31,0.04,0.12,0.07,3.46,8.82,0.36,1.18,0.37,0.22,1.11,2.1,1.58,0.19,0.02,19.13
Chadwyck_British_1858_Thackeray_TheVirginiansA.txt,355638,16.97,17.34,83.75,0.02,56.25,15.13,11.19,3.14,0.95,1.4,4.83,0.86,3.94,7.08,12.22,7.76,5.36,4.68,1.29,3.35,13.69,7.11,1.66,2.29,0.89,0.02,15.25,1.15,0.32,2.13,6.3,4.28,1.99,0.33,0.63,0.68,14.88,1.48,0.94,1.4,2.06,1.35,0.42,5.91,2.06,2.57,0.93,1.14,0.44,1.97,0.87,0.42,0.36,0.37,11.87,1.81,5.68,4.28,1,1.21,0.97,0.74,0.68,0.74,0.21,0.08,0.13,0.09,4.49,8.77,0.25,0.78,0.68,0.83,1.26,2.71,1.64,0.14,0.01,21.18
Chadwyck_American_1826_Cooper_TheLastof.txt,147118,25.09,19.95,81.05,0,56.25,11.84,7.69,0.83,0.55,0.69,4.02,1.61,4.15,11.32,9.48,6.1,4.72,2.97,1.02,3.36,15.46,6.53,1.15,2.4,0.66,0.03,10.92,0.29,0.27,0.79,5.6,2.87,2.69,0.6,0.97,0.68,13.35,1.8,0.98,0.99,1.89,1,0.8,4.98,1.76,3.5,1.31,1.3,0.66,2.24,1.65,0.33,0.11,0.2,12.94,2.1,6.28,4.62,0.79,1.39,0.55,0.15,0.23,0.42,0.3,0.04,0.11,0.15,3.05,10.3,0.02,1.02,0.24,0.71,0.83,2.78,0.32,0.01,0.01,18.89
Chadwyck_American_1823_Cooper_ThePioneersvolume.txt,172334,24.72,18.41,82,0,57.28,12.61,7.95,1.83,0.39,1.25,3.55,0.94,4.65,11,10.64,6.83,4.88,3.82,1.09,3.37,15.41,6.45,1.2,2.34,0.95,0.03,10.19,0.34,0.18,1.03,4.9,3.01,1.86,0.38,0.53,0.59,13.37,1.6,1.04,1.1,1.93,1.18,0.64,4.86,2.06,3.11,1.09,1.01,0.82,1.95,1.25,0.35,0.09,0.29,13.01,1.87,6.56,4.51,1.02,1.23,0.57,0.41,0.67,0.59,0.21,0.1,0.15,0.11,3.22,10.94,0.07,1.26,0.34,0.56,1.4,3.23,1.16,0.02,0,21.64
Chadwyck_American_1827_Cooper_ThePrairievolume.txt,166183,25.67,19.14,82.91,0,58.13,12.47,7.92,1.48,0.33,0.97,3.96,1.19,4.55,11.1,10.61,7.13,4.59,4,1.14,3.34,15.69,6.54,1.28,2.54,0.69,0.04,10.79,0.42,0.26,1.05,5.41,3,2.37,0.52,0.83,0.58,13.69,1.91,1.16,1.09,2.12,1.16,0.66,4.61,2,3.09,1.22,1.02,0.67,2.11,1.42,0.41,0.14,0.21,12.49,1.83,6.12,4.52,0.99,1.36,0.51,0.14,0.31,0.39,0.22,0.04,0.14,0.16,3.08,8.71,0.03,0.77,0.26,0.58,0.96,2.7,0.36,0.01,0,17.04
Chadwyck_American_1840_Cooper_ThePathfinderor.txt,181133,25.25,17.32,83.36,0,59.65,13.39,8.37,2.04,0.72,1.31,3.46,0.84,5.03,9.32,12.38,8.26,4.54,5.07,1.54,3.77,15.14,7.2,1.82,2.82,1.02,0.02,10.45,0.55,0.29,0.89,5.3,3.41,1.85,0.46,0.59,0.41,16.02,2.3,1.07,1.57,2.56,1.6,0.81,4.93,2.38,2.63,0.94,0.84,0.67,1.65,1.03,0.22,0.14,0.3,12.01,1.73,6.05,4.14,0.75,1.4,0.42,0.19,0.23,0.34,0.2,0.07,0.22,0.16,3.3,10.71,0.05,1.09,0.34,0.41,1.3,3.37,1,0,0,21.03
Chadwyck_American_1841_Cooper_TheDeerslayervolume.txt,211083,25.81,17.59,83.68,0,59.12,12.71,7.63,1.42,0.47,1.08,3.53,1.12,5.08,9.76,12.14,8.12,4.87,4.76,1.36,3.76,15.44,7.55,1.76,2.97,0.89,0.02,10.25,0.44,0.22,0.99,5.22,3.12,2.06,0.41,0.72,0.54,15.66,2.18,1.17,1.47,2.54,1.51,0.74,4.98,2.25,2.82,1.08,0.85,0.72,1.76,1.21,0.25,0.14,0.2,12.91,1.79,6.32,4.71,0.72,1.33,0.38,0.17,0.28,0.36,0.28,0.07,0.18,0.13,3.34,10.08,0.02,1.26,0.24,0.36,1.08,2.24,1.74,0,0,19.87
